StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,WorkerID,Consent,PUtt_PExp_A_F_GT_1,PUtt_PExp_A_F_check,NUtt_PExp_W_M_GT_1,NUtt_PExp_W_M_check,PUtt_NExp_B_F_GT_1,PUtt_NExp_B_F_check,NUtt_NExp_L_M_GT_1,NUtt_NExp_L_M_check,NUtt_NExp_B_F_GT_1,NUtt_NExp_B_F_check,PUtt_NExp_L_M_GT_1,PUtt_NExp_L_M_check,PUtt_NExp_W_M_GT_1,PUtt_NExp_W_M_check,NUtt_PExp_B_F_GT_1,NUtt_PExp_B_F_check,NUtt_PExp_L_M_GT_1,NUtt_PExp_L_M_check,NUtt_NExp_W_M_GT_1,NUtt_NExp_W_M_check,NUtt_PExp_A_F_GT_1,NUtt_PExp_A_F_check,PUtt_PExp_W_M_GT_1,PUtt_PExp_W_M_check,PUtt_PExp_B_F_GT_1,PUtt_PExp_B_F_check,PUtt_PExp_L_M_GT_1,PUtt_PExp_L_M_check,PUtt_NExp_A_F_GT_1,PUtt_NExp_A_F_check,NUtt_NExp_A_F_GT_1,NUtt_NExp_A_F_check,age,gender,Q289,language,other
1/13/21 14:39,1/13/21 14:42,0,50.29.136.80,100,216,1,1/13/21 14:42,R_3Eb81Wwy15btalp,,,,,41.12469482,-75.40809631,anonymous,EN,5ece0cb4c501a118f01083f9,4,,,,,,,,,,,,,,,4,O,,,1,L,,,,,,,5,U,3,H,,,18,1,"3,5",English,
1/13/21 14:40,1/13/21 14:43,0,162.72.194.82,100,149,1,1/13/21 14:43,R_2AT4zbrosGnyd8F,,,,,37.75100708,-97.8219986,anonymous,EN,5cbd6a1efac0cc0018fa1733,4,5,H,4,L,2,O,1,U,,,,,,,,,,,,,,,,,,,,,,,,,38,2,6,English,
1/13/21 14:43,1/13/21 14:45,0,70.190.63.98,100,128,1,1/13/21 14:45,R_1pxLeQ3CiAaMfkf,,,,,33.3874054,-112.0998001,anonymous,EN,5d949970ca12280014908f72,4,,,,,1,O,,,,,,,,,,,,,1,L,2,H,,,,,4,U,,,,,51,2,6,English,
1/13/21 14:43,1/13/21 14:45,0,173.67.49.232,100,166,1,1/13/21 14:45,R_DSt5KiTGMIcjHcR,,,,,39.26190186,-76.49919891,anonymous,EN,5fa96d63b177280ff20e90ee,4,,,,,,,,,,,,,,,,,4,U,1,L,,,,,6,O,,,1,H,,,46,1,1,English,
1/13/21 14:48,1/13/21 14:49,0,67.250.106.192,100,61,1,1/13/21 14:49,R_29s04Qc5Rmz3cMG,,,,,40.59559631,-74.08059692,anonymous,EN,5fff1c414aaf1d669ecc95e5,4,6,H,,,2,O,,,,,,,,,,,4,U,1,L,,,,,,,,,,,,,19,1,"4,6",English,
1/13/21 14:49,1/13/21 14:50,0,75.142.213.35,100,59,1,1/13/21 14:50,R_sBjrbcpapu8051v,,,,,34.04820251,-118.1152039,anonymous,EN,5a9e841089de8200013f28d3,4,5,H,,,,,1,U,,,,,2,L,2,O,,,,,,,,,,,,,,,,,30,1,6,English,
1/13/21 14:48,1/13/21 14:51,0,99.184.128.68,100,181,1,1/13/21 14:51,R_1cV1AZL405YXl96,,,,,33.78379822,-84.44550323,anonymous,EN,5ff223318e8e871fd20d0d36,4,6,H,,,,,1,U,,,,,3,L,4,O,,,,,,,,,,,,,,,,,26,2,3,English,No
1/13/21 14:49,1/13/21 14:51,0,98.209.204.251,100,130,1,1/13/21 14:51,R_1g7VpkyuPQOKlHy,,,,,42.42630005,-82.90139771,anonymous,EN,5ffa1338edf58b3afa637da0,4,,,,,,,,,,,,,,,,,2,u,1,L,,,,,5,o,,,2,H,,,18,1,4,english,no
1/13/21 14:50,1/13/21 14:52,0,74.71.23.203,100,125,1,1/13/21 14:52,R_2tyfTx1GYzwsfhW,,,,,40.80000305,-73.9763031,anonymous,EN,5f51287698edeb30a0cf878d,4,,,2,L,,,,,,,1,U,,,,,,,,,,,,,5,O,,,,,1,H,36,1,2,"English, Chinese",None
1/13/21 14:50,1/13/21 14:52,0,24.251.199.157,100,156,1,1/13/21 14:52,R_3R3AXZMU6b0BGcu,,,,,33.5657959,-112.1724014,anonymous,EN,5686e598369319000b268e63,4,3,H,,,1,o,,,,,,,,,,,3,U,1,L,,,,,,,,,,,,,36,1,6,English,
1/13/21 14:50,1/13/21 14:53,0,96.245.23.212,100,169,1,1/13/21 14:53,R_12x4qvQwDPJeIfp,,,,,40.625,-75.39530182,anonymous,EN,5c7ee8289c3fc00001f4e6a1,4,,,1,L,,,,,,,4,u,,,,,,,,,,,,,4,o,,,,,1,H,51,2,6,english,
1/13/21 14:46,1/13/21 14:53,0,35.142.109.14,100,445,1,1/13/21 14:53,R_2zo1ggkrJSeQjn4,,,,,28.23649597,-82.3289032,anonymous,EN,5ffd67522f30d22807d93900,4,3,H,4,L,,,,,6,L,6,U,,,,,,,,,,,,,,,,,,,,,44,1,6,English,Good
1/13/21 14:52,1/13/21 14:54,0,184.90.224.127,100,114,1,1/13/21 14:54,R_10GHlp6xc24IzZQ,,,,,28.20620728,-80.68740082,anonymous,EN,5faddc2812af4c1fb9094708,4,,,,,,,,,,,2,U,,,,,,,1,L,4,H,,,5,O,,,,,,,30,2,6,English,
1/13/21 14:52,1/13/21 14:54,0,173.64.116.9,100,116,1,1/13/21 14:54,R_UisTD7GrvnOx8o9,,,,,39.41259766,-76.5789032,anonymous,EN,5e9a6745ff642f0f73251a5e,4,5,H,,,,,,,1,O,,,2,L,,,2,U,,,,,,,,,,,,,,,20,2,7,English,no
1/13/21 14:51,1/13/21 14:55,0,99.191.237.56,100,201,1,1/13/21 14:55,R_d0QyMDeX2gL6MwN,,,,,33.46629333,-86.80799866,anonymous,EN,5d4722bddbbead0019eaf8e4,4,5,H,,,,,,,3,O,,,4,L,,,4,U,,,,,,,,,,,,,,,26,1,6,English,
1/13/21 14:54,1/13/21 14:55,0,98.3.109.95,100,55,1,1/13/21 14:55,R_2Wu4xahl4HbWUkE,,,,,43.07809448,-77.33709717,anonymous,EN,5e8fa37bf594d02a576c7a46,4,,,,,,,,,,,,,1,L,,,1,U,,,,,,,5,O,,,,,1,H,21,2,1,English,
1/13/21 14:54,1/13/21 14:57,0,71.192.220.151,100,141,1,1/13/21 14:57,R_yjOIsmueYqP069X,,,,,42.12930298,-72.75219727,anonymous,EN,5dc091fa9be08f03fb01a816,4,,,,,,,2,U,,,,,,,2,O,,,,,,,5,L,,,,,3,H,,,29,1,"4,6",English,n/a
1/13/21 15:16,1/13/21 15:17,0,76.174.249.78,100,103,1,1/13/21 15:17,R_2cucMxsVmzJpYp9,,,,,34.14830017,-118.0016022,anonymous,EN,5fcc7da870ce740516c9e7f4,4,,,,,,,,,1,O,,,,,,,4,U,,,,,5,L,,,,,3,H,,,33,1,6,English,
1/13/21 14:05,1/13/21 14:08,0,75.83.162.193,,,0,,FS_25WCjrlqVOJyo1j,,,,,,,Anonymous,,5fff59be8cbcd70740c7cea1,1,,,,,,,,,,,,,1,L,,,1,U,,,,,,,5,O,,,,,1,H,19,2,3,English,No difficulty
1/13/21 14:07,1/13/21 14:08,0,73.171.41.169,,,0,,FS_1hKFX0289ZouN11,,,,,,,Anonymous,,5fff5239ecbb6006435a6916,1,,,,,,,,,,,,,1,L,2,O,,,,,,,,,,,5,O,,,1,H,21,2,6,English,
1/13/21 14:22,1/13/21 14:24,0,50.237.210.60,,,0,,FS_xgXWp91rHv2AlvX,,,,,,,Anonymous,,5c463ab25d6b8800018963bc,1,,,,,,,1,U,,,,,2,L,,,,,,,2,H,,,5,O,,,,,,,25,1,6,English,
1/13/21 14:23,1/13/21 14:25,0,68.192.202.27,,,0,,FS_1pM73AeFTs5IbgZ,,,,,,,Anonymous,,5f898a035298a803c5a7b8d1,1,,,,,,,,,,,,,,,2,O,,,2,L,,,,,,,5,U,3,H,,,31,2,7,English,
1/13/21 14:25,1/13/21 14:26,0,173.242.244.4,,,0,,FS_1CfO6sBJ34cgdhY,,,,,,,Anonymous,,5e6ef45ac6e06c4a3f64cd2f,1,,,,,,,,,1,O,1,U,,,,,,,,,3,H,4,L,,,,,,,,,18,2,6,English,
1/13/21 14:28,1/13/21 14:29,0,174.99.123.173,,,0,,FS_2zO4TPe3trgDWJI,,,,,,,Anonymous,,5ed82a941d95a71624018bcb,1,,,2,L,,,1,u,,,,,,,,,,,,,,,,,6,O,,,3,H,,,18,1,"2,6",english,
1/13/21 14:30,1/13/21 14:33,0,98.244.46.160,,,0,,FS_UsyfwB48zsTLpjX,,,,,,,Anonymous,,58d7896b4240e5000118f705,1,,,,,,,,,1,o,,,,,,,4,u,,,,,5,L,,,,,2,H,,,81,2,6,English,no problems
1/13/21 14:34,1/13/21 14:37,0,24.205.151.115,,,0,,FS_vkLEYkPv1krl2tr,,,,,,,Anonymous,,5e55e505df966b5f956fbbcc,1,,,,,2,O,,,,,,,,,,,,,1,L,2,H,,,,,4,U,,,,,23,1,2,English,"No, thanks for letting me participate / "
1/13/21 14:34,1/13/21 14:38,0,98.246.14.110,,,0,,FS_3phGkYPC0Lku1F2,,,,,,,Anonymous,,5f38b1be464d743d27203f7a,1,,,,,1,O,6,U,,,,,,,,,,,,,3,H,4,L,,,,,,,,,56,2,6,English,
1/13/21 14:35,1/13/21 14:36,0,98.223.217.48,,,0,,FS_3k063PNJn7AjuMb,,,,,,,Anonymous,,5f36f5c5a9ef8615f1333ab1,1,,,,,4,O,,,,,,,,,,,,,1,L,1,H,,,,,5,U,,,,,23,1,2,English,
1/13/21 14:36,1/13/21 14:39,0,76.205.130.8,,,0,,FS_3LhhfZz6Uf5dY8O,,,,,,,Anonymous,,59ff1c68df3fa800015c2d0a,1,,,,,3,O,1,U,,,,,,,,,,,,,2,H,5,L,,,,,,,,,61,2,6,English ,
1/13/21 14:40,1/13/21 14:43,0,73.93.141.90,,,0,,FS_1g5EIWwwAjlZSWu,,,,,,,Anonymous,,5c7160b5b2516100015dfef1,1,,,,,4,O,1,U,,,,,,,,,,,,,2,H,5,L,,,,,,,,,53,2,6,English,
1/13/21 14:41,1/13/21 14:43,0,69.207.160.230,,,0,,FS_2rqMqWZcbCkB2Js,,,,,,,Anonymous,,5ed87555b3221a1aeb5654be,1,,,,,,,,,,,,,1,L,,,3,U,,,,,,,4,O ,,,,,2,H,20,2,6,English,N/A
1/13/21 14:42,1/13/21 14:44,0,73.81.250.88,,,0,,FS_2WAprAEOrTSizEC,,,,,,,Anonymous,,5cd9cbe98eb5ed00198a1280,1,,,,,,,,,,,,,1,L,,,3,U,,,,,,,5,O,,,,,1,H,22,1,6,English,
1/13/21 14:42,1/13/21 14:44,0,73.40.127.221,,,0,,FS_2flY1zKqqjlIEdY,,,,,,,Anonymous,,5c7912d1266f210012af515e,1,,,,,,,1,u,,,,,,,1,o,,,,,,,4,l,,,,,1,h,,,28,1,6,English,
1/13/21 14:43,1/13/21 14:45,0,76.103.9.194,,,0,,FS_1prtZCzmY13Y9Ge,,,,,,,Anonymous,,5dc0eb948febed080a59641d,1,,,2,L,,,1,U,,,,,,,,,,,,,,,,,5,O,,,3,H,,,26,2,"2,4",English,
1/13/21 14:45,1/13/21 14:47,0,66.67.112.200,,,0,,FS_3dQFl3seH541mUZ,,,,,,,Anonymous,,5c3230a4d209e500011d5d3b,1,,,,,,,,,,,,,1,L,3,O,,,,,,,,,,,6,U,,,1,H,59,2,6,English,
1/13/21 14:45,1/13/21 14:48,0,71.197.103.93,,,0,,FS_2ykCMtT5lPpEfo3,,,,,,,Anonymous,,5dbe8324d5b87636af31cf4f,1,,,2,L,,,,,,,1,U,,,,,,,,,,,,,5,O,,,,,1,H,37,2,"5,6",English,
1/13/21 14:45,1/13/21 14:47,0,24.14.42.112,,,0,,FS_2ypaUcgybrPZISh,,,,,,,Anonymous,,5b6142d1f5bc590001184814,1,,,,,,,,,2,O,2,U,,,,,,,,,3,H,4,L,,,,,,,,,46,2,6,English,No additional comments :)
1/13/21 14:47,1/13/21 14:58,0,97.99.102.175,,,0,,FS_1exDJStPImGHVkJ,,,,,,,Anonymous,,5ffefc42cbc37a5bfe253cac,1,,,4,L,,,4,U,,,,,,,,,,,,,,,,,5,O,,,3,H,,,50,2,6,English,
1/13/21 14:47,1/13/21 14:49,0,73.224.198.157,,,0,,FS_5bSZPfQ6FumlPe9,,,,,,,Anonymous,,5a443703daea400001ac2859,1,2,H,1,L,,,,,2,O,1,U,,,,,,,,,,,,,,,,,,,,,23,1,6,English,
1/13/21 14:48,1/13/21 14:49,0,70.190.174.171,,,0,,FS_28RPtqkN4VEYihU,,,,,,,Anonymous,,5f494b8500953f12345392f6,1,,,,,,,1,U,,,,,,,4,L,,,,,,,6,L,,,,,1,H,,,30,2,4,English,
1/13/21 14:48,1/13/21 14:55,0,50.231.88.27,,,0,,FS_2roxJaUxzWc5zcm,,,,,,,Anonymous,,5ff6f51b4721d52dbd029030,1,,,,,,,,,,,,,,,,,5,U,2,L,,,,,5,O,,,3,H,,,40,1,6,English,
1/13/21 14:48,1/13/21 14:51,0,128.255.158.20,,,0,,FS_21iEPYUuunjCmEf,,,,,,,Anonymous,,5f1f9c1e6342c31c5c9ebe0a,1,,,,,,,,,,,,,1,L,2,O,,,,,,,,,,,4,U,,,1,H,24,2,2,"English (I learned Tamil and English at the same time when I was younger. However, I grew up in the US and am by FAR more proficient in English. ",
1/13/21 14:48,1/13/21 14:50,0,172.58.236.245,,,0,,FS_1qfWHJfhjVFjxo1,,,,,,,Anonymous,,5c67338e7d17f800013f6176,1,,,,,,,,,1,O,1,U,,,,,,,,,2,H,3,L,,,,,,,,,23,1,4,Spanish,
1/13/21 14:48,1/13/21 14:55,0,72.238.225.83,,,0,,FS_2fm1Alm3Q0C8yEh,,,,,,,Anonymous,,5ffe6fa216a398527ad4d441,1,,,,,,,,,,,,,,,,,6,U,1,L,,,,,6,O,,,2,H,,,44,2,6,English,Thank you for giving me the survey. I am pleased to work with you. / 
1/13/21 14:49,1/13/21 14:49,0,67.250.106.192,,,0,,FS_3irFVHvD0tUUi9B,,,,,,,Anonymous,,5fff1c414aaf1d669ecc95e5,1,,,3,L,1,O,,,,,,,,,,,,,,,,,,,,,6,U,,,1,H,19,1,"4,6",English,
1/13/21 14:49,1/13/21 14:51,0,99.130.112.252,,,0,,FS_C8FBtcWumKQAaL7,,,,,,,Anonymous,,5f504261fc46741bfbeb8240,1,,,4,L,,,,,,,1,U,,,,,,,,,,,,,5,O,,,,,2,H,20,1,2,English,
1/13/21 14:50,1/13/21 14:52,0,174.230.142.46,,,0,,FS_3PnMeHXIHqV4BjK,,,,,,,Anonymous,,5d8409a9c4b157000195f72a,1,5,H,,,3,O,,,,,,,,,,,3,U,2,L,,,,,,,,,,,,,19,2,6,English,
1/13/21 14:50,1/13/21 14:50,0,108.29.99.146,,,0,,FS_2wEOq9HpbrTrv9O,,,,,,,Anonymous,,5ed5d28a7981f617185819ff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/21 14:50,1/13/21 14:52,0,70.127.177.31,,,0,,FS_3j1byrJU3G3v54c,,,,,,,Anonymous,,5e5382c992d5a9000fe772e5,1,,,,,,,1,U,,,,,2,L,,,,,,,3,H,,,6,O,,,,,,,20,2,6,English ,
1/13/21 14:52,1/13/21 14:55,0,100.11.36.12,,,0,,FS_2X1mHg1tiRkQ44q,,,,,,,Anonymous,,55ac122ffdf99b6de2fa7ea3,1,,,,,,,,,,,,,1,L,,,6,U,,,,,,,6,O,,,,,1,H,72,2,6,ENGLISH,
1/13/21 14:52,1/13/21 14:55,0,47.218.36.110,,,0,,FS_3qPXHMY9Ezobz8c,,,,,,,Anonymous,,5ec5925cb3d6035afea34d20,1,,,,,,,,,1,O,,,1,L,,,,,,,5,H,,,,,5,U,,,,,21,2,6,English,
1/13/21 14:52,1/13/21 15:11,0,172.58.30.220,,,0,,FS_viaEXSNiKo2CJ5n,,,,,,,Anonymous,,5e956f2dfd282d3f0938a683,1,,,5,L,,,,,,,1,U,,,,,,,,,,,,,6,O,,,,,2,H,36,2,3,english,no
1/13/21 14:53,1/13/21 14:57,0,134.56.177.140,,,0,,FS_pt9cOcR4MoF6qvD,,,,,,,Anonymous,,570758d5374137000fbb68cd,1,5,H,4,L,,,,,1,O,1,U,,,,,,,,,,,,,,,,,,,,,43,2,6,English,
1/13/21 14:53,1/13/21 14:58,0,69.204.215.102,,,0,,FS_AdjvVh7qP5DB4VH,,,,,,,Anonymous,,5ffefdfbed52b1628847fd66,1,,,,,,,,,,,,,,,4,O,,,3,U,,,,,,,4,U,3,H,,,45,2,6,English,
1/13/21 14:53,1/13/21 14:55,0,67.82.246.235,,,0,,FS_2QfyMyRtl31310p,,,,,,,Anonymous,,5ed311469da94b2a28c00068,1,,,1,L,,,,,1,O,,,,,,,,,,,,,,,,,2,U,1,H,,,20,2,2,English,
